soz_id,sozum,atara,anlami,anahtar,turu2,gosterim_tarihi
1,a'dan z'ye (kadar), a dan z ye kadar a A,"baştan aşağı, tamamen, tamamıyla, bütünüyle:<i> Evini a'dan z'ye değiştirdi.</i>","a, A",Deyim,2019-05-20
2,aba altında er yatar, aba altında er yatar yatmak,giyim kuşam kişiliğe ölçü olamaz.,yatmak,Atasözü,2019-05-20
3,aba gibi, aba gibi abaII,kaba ve kalın (kumaş).,aba(II),Deyim,
4,"aba vakti yaba, yaba vakti aba", aba vakti yaba yaba vakti aba vakit,gereksinimler vaktinden önce ve ucuz olduğu zaman karşılanmalıdır.,vakit,Atasözü,
5,abanın kadri yağmurda bilinir, abanın kadri yağmurda bilinir aba kadir bilmek,"bir şeyin gerçek değeri, ancak ona çok ihtiyaç duyulduğu zaman iyi anlaşılır.","aba, kadir, bilmek",Atasözü,
6,abanoz gibi, abanoz gibi abanoz,1) çok sert:<i> Abanoz gibi tahta.</i> 2) kapkara.,abanoz,Deyim,
7,abazan kalmak, abazan kalmak abazan,1) uzun süre cinsel ilişkide bulunmamak; 2) aç kalmak.,abazan,Deyim,
8,"abdal ata binince bey oldum sanır, şalgam aşa girince yağ oldum sanır", abdal ata binince bey oldum sanır şalgam aşa girince yağ oldum sanır olmak sanmak,"görmemiş kişi, rastlantı sonucu layık olmadığı bir duruma kavuşursa bu durum kendisinin hakkıymış gibi aptalca böbürlenir.","olmak, sanmak",Atasözü,
9,"abdal düğünden, çocuk oyundan usanmaz", abdal düğünden çocuk oyundan usanmaz usanmak,bir kimse sevdiği işi sürekli olarak yapmaktan bıkmaz.,usanmak,Atasözü,
10,"abdal tekkede, hacı Mekke'de bulunur", abdal tekkede hacı Mekke de bulunur bulunmak,herkes kendisine yakışan ve uğraştığı işle ilgili olan yerdedir.,bulunmak,Atasözü,
11,"abdala 'kar yağıyor' demişler, 'titremeye hazırım (durmuşum)' demiş", abdala kar yağıyor demişler titremeye hazırım durmuşum demiş yağmak titremek demek,"varlıklılar için sıkıntı olabilecek bir durum, yoksullar için söz konusu bile olmaz.","yağmak, titremek, demek",Atasözü,
12,abdala malum olur, abdala malum olur olmak,bir şeyin olacağını önceden sezen kimseler için söylenen bir söz.,olmak,Atasözü,
13,abdalın dostluğu köy görününceye kadar, abdalın dostluğu köy görününceye kadar dostluk görünmek,"çıkarı dolayısıyla yakınlık gösteren kimse, işini yürütecek başkalarını bulduğunda sizinle ilgisini keser.","dostluk, görünmek",Atasözü,
14,abdalın karnı doyunca gözü pabucundadır (yolda olur), abdalın karnı doyunca gözü pabucundadır yolda olur karın doymak pabuç,çıkarına düşkün kimselerin arkadaşlığı işi bitinceye kadardır.,"karın, doymak, pabuç",Atasözü,
15,"abdalın yağı çok olursa gâh borusuna çalar, gâh gerisine", abdalın yağı çok olursa gâh borusuna çalar gâh gerisine çalmak,"varlıklı ama akılsız ve hesapsız kişi malını gereksiz yerlere harcar, telef eder.",çalmak,Atasözü,
16,abdest almak, abdest almak abdest,"1) Müslümanlar, belli ibadetleri yapabilmek için bir düzen içerisinde bazı organları yıkayıp bazılarını mesh ederek arınmak; 2) boy abdesti almak.",abdest,Deyim,
17,abdest bozmak, abdest bozmak abdest,idrar veya dışkı yapmak.,abdest,Deyim,
18,abdest tazelemek, abdest tazelemek abdest,abdesti bozulmadığı hâlde yeniden abdest almak.,abdest,Deyim,
19,abdesti gelmek, abdesti gelmek abdest,abdest bozmaya gereksinim duymak.,abdest,Deyim,
20,abdesti kaçmak, abdesti kaçmak abdest,abdesti bozulmak.,abdest,Deyim,
21,abdestinde namazında olmak, abdestinde namazında olmak abdest,dindar olmak.,abdest,Deyim,
22,abdestinden şüphesi olmamak, abdestinden şüphesi olmamak abdest,yaptığı işte kusuru olmadığını kesin olarak bilmek.,abdest,Deyim,
23,abdestsiz sofuya namaz mı dayanır, abdestsiz sofuya namaz mı dayanır dayanmak,"kurallara, koşullara uyulmadıktan sonra bir sürü iş yapılabilir.",dayanmak,Atasözü,
24,abdestsiz yere basmamak, abdestsiz yere basmamak ,dinî kurallara titizlikle bağlı olmak.,,Deyim,
25,abesle iştigal etmek (uğraşmak), abesle iştigal etmek uğraşmak abes,"yersiz, yararsız işlerle vakit öldürmek:<i> 'Yazarlarımızın çoğu yalnızca kendi ürünlerinin ne amaçla üretildiğini sayıp dökerek bir anlamda abesle iştigal ediyorlar.' -</i>T. Uyar.",abes,Deyim,
26,abıhayat içmiş, abıhayat içmiş abıhayat,yaşı çok ilerlemiş olmasına karşın genç görünen (kimse).,abıhayat,Deyim,
27,"abliyi kaçırmak (bırakmak, koyuvermek)", abliyi kaçırmak bırakmak koyuvermek ,1) soğukkanlılığını yitirip davranışlarını denetleyememek; 2) şaşırıp ne yapacağını bilememek.,,Deyim,
28,ablukayı yarmak, ablukayı yarmak abluka,kuşatılan bölgeden zor kullanarak dışarı çıkmak.,abluka,Deyim,
29,abuk sabuk konuşmak, abuk sabuk konuşmak abuk sabuk,"ne söylediğini bilmeden, düşüncesiz, tutarsız konuşmak.",abuk sabuk,Deyim,
30,acayibine gitmek, acayibine gitmek acayip,"yadırgamak, tuhafına gitmek.",acayip,Deyim,
31,acele ile menzil alınmaz, acele ile menzil alınmaz alınmak,acele etmekle daha çabuk sonuç alınır sanılmamalıdır.,alınmak,Atasözü,
32,acele ile yürüyen yolda kalır, acele ile yürüyen yolda kalır yürümek kalmak,"iş yaparken acele eden şaşırır, işini bitiremez.","yürümek, kalmak",Atasözü,
33,acele işe şeytan karışır, acele işe şeytan karışır karışmak,düşünüp taşınmadan ivedi olarak yapılan işten iyi sonuç alınamaz.,karışmak,Atasözü,
34,acele işin sonu pişmanlık, acele işin sonu pişmanlık ,acele ederek yaptığımız işten istediğimiz sonucu alamayabiliriz.,,Atasözü,
35,Acem kılıcı gibi, Acem kılıcı gibi Acem kılıcı,"her iki tarafı da idare edebilen, güvenilmez (kimse).",Acem kılıcı,Deyim,
36,acemi katır kapı önünde yük indirir, acemi katır kapı önünde yük indirir indirmek,beceriksiz ve anlayışsız kişi kendisine yaptırılan işi en önemli yerinde bırakır.,indirmek,Atasözü,
37,acemi nalbant gâvur eşeğinde öğrenir, acemi nalbant gâvur eşeğinde öğrenir eşek öğrenmek,"mesleğinde ustalığa erişmemiş kimse, ilk denemelerini gözden çıkarılabilecek malzeme üzerinde yapar.","eşek, öğrenmek",Atasözü,
38,acemilik çekmek, acemilik çekmek acemilik,alışamadığı bir işte zorluk çekmek.,acemilik,Deyim,
39,acı (acılar) görmek, acı acılar görmek acı,kötü günler yaşamak.,acı,Deyim,
40,"acı acıyı keser, su sancıyı", acı acıyı keser su sancıyı kesmek,bir güçlüğü yenmek için başka bir güç yola başvurulmalıdır.,kesmek,Atasözü,
41,acı çekmek (duymak), acı çekmek duymak acı,"1) ağrı, sızı duymak:<i> Ameliyattan sonra çok acı çekti.</i> 2)<i> mec.</i> üzülmek, üzüntü içinde kalmak:<i> 'Bu faciaya bizzat karışmışım gibi bir acı duyuyordum.' -</i>Y. K. Karaosmanoğlu.",acı,Deyim,
42,acı gelmek, acı gelmek acı,"dokunmak, kırmak, üzmek:<i> 'Bu durumun gerçeklerle uyumsuzluğu ona acı geliyor.' -</i>A. Kutlu.",acı,Deyim,
43,"acı (kötü) söz insanı (adamı) dinden çıkarır, tatlı söz yılanı inden çıkarır", acı kötü söz insanı adamı dinden çıkarır tatlı söz yılanı inden çıkarır çıkarmak,"gönül alıcı, okşayıcı sözlerle karşımızdakinin inadı yenilebilir.",çıkarmak,Atasözü,
44,acı patlıcanı kırağı çalmaz, acı patlıcanı kırağı çalmaz çalmak,herhangi bir duruma alışkın olan kimseyi benzer kötü durumlar etkilemez.,çalmak,Atasözü,
45,acı söylemek, acı söylemek acı,olumsuz bir davranış karşısında gerçeği olduğu gibi söylemek.,acı,Deyim,
46,"acıkan doymam sanır, susayan kanmam sanır", acıkan doymam sanır susayan kanmam sanır acıkmak doymak sanmak susamak kanmak,"bir şeyi uzun süre elde edemeyen kimse, daha sonra o şeyden ne kadar çok edinirse edinsin yine kendisine yetmeyeceği kanısında bulunur.","acıkmak, doymak, sanmak, susamak, kanmak",Atasözü,
47,"acıkan ne olsa yer, acıyan ne olsa söyler", acıkan ne olsa yer acıyan ne olsa söyler acıkmak acımak söylemek,"geçim sıkıntısı içinde bulunan kişi geçinebilmek için her yolu dener, her işi yapar, canı yanan kişi de sonunu düşünmeden ağzına geleni söyler.","acıkmak, acımak, söylemek",Atasözü,
48,"acıkan ne yemez, acıyan ne demez", acıkan ne yemez acıyan ne demez acıkmak yemek acımak demek,"geçim sıkıntısı içinde bulunan kişi geçinebilmek için her yolu dener, her işi yapar, canı yanan kişi de sonunu düşünmeden ağzına geleni söyler.","acıkmak, yemek, acımak, demek",Atasözü,
49,"acıkanın yanağından, susayanın dudağından belli olur", acıkanın yanağından susayanın dudağından belli olur acımak yanak susamak dudak,bir insanın ne durumda olduğu yüzünden anlaşılır.,"acımak, yanak, susamak, dudak",Atasözü,
50,acıklı başta akıl olmaz, acıklı başta akıl olmaz olmak,büyük sıkıntılar içinde bulunanlar mantık dışı işler yapabilirler.,olmak,Atasözü,
51,acıkmış kudurmuştan beterdir, acıkmış kudurmuştan beterdir acıkmak kudurmak,"uzun süre bir nesnenin yokluğunu çeken kimse, onu gördüğünde büyük bir istekle ona saldırır.","acıkmak, kudurmak",Atasözü,
52,acından kimse ölmemiş, acından kimse ölmemiş ölmek,"kişi yoksul olabilir, işsiz ve parasız kalabilir ama aç kalmaz, mutlaka bir geçim yolu bulur.",ölmek,Atasözü,
53,acından ölmek, acından ölmek aç,1) çok acıkmak; 2) aşırı derecede yoksul olmak.,aç,Deyim,
54,"acındırırsan arsız olur, acıktırırsan hırsız olur", acındırırsan arsız olur acıktırırsan hırsız olur acındırmak olmak acıktırmak,"koruduğunuz kimsenin sürekli acınmasına izin verirseniz arsız olur, emeğinin karşılığını tam olarak vermediğiniz kişi de hırsız olur.","acındırmak, olmak, acıktırmak",Atasözü,
55,acısı içine (yüreğine) çökmek (işlemek), acısı içine yüreğine çökmek işlemek acı,1) bir şeyin acısını derinden duymak; 2) kötü bir şey olacağını düşünerek önceden üzülmek.,acı,Deyim,
56,acısı ortaya çıkmak, acısı ortaya çıkmak acı,"olumsuz sonucu yavaş yavaş ortaya çıkmak:<i> 'Dur bakalım daha hele, o içtiklerinin acısı bir bir çıkacak ortaya.' -</i>M. İzgü.",acı,Deyim,
57,acısını almak, acısını almak acı,1) acılığını gidermek; 2) sızıyı dindirmek.,acı,Deyim,
58,acısını bağrına (içine) basmak (gömmek), acısını bağrına içine basmak gömmek acı,"bir üzüntüye, sıkıntıya yakınmadan katlanmak.",acı,Deyim,
59,acısını çekmek, acısını çekmek acı,yapılan yanlış bir işin doğurduğu sıkıntı ve üzüntü içinde bulunmak.,acı,Deyim,
60,acısını çıkarmak, acısını çıkarmak acı,1) acılığını yok etmek:<i> Soğanın acısını çıkarmak.</i> 2)<i> mec.</i> uğradığı maddi veya manevi zararı karşılayacak bir iş yapmak:<i> 'Bunca gecikmişliğe rağmen o günlerin acısını çıkarabilmesine imkân tanımalıydı.' -</i>E. Şafak. 3)<i> mec.</i> öç almak:<i> 'Ustanın kendisini küçük burjuva münevveri diye aşağılık görmesinin acısını çıkarıyor.' -</i>N. Hikmet.,acı,Deyim,
61,acısını görmek, acısını görmek acı,bir yakınının ölümünü görmek.,acı,Deyim,
62,"acıyan uyumuş, acıkan uyumamış", acıyan uyumuş acıkan uyumamış acımak uyumak acıkmak uyumak,insan sıkıntıya katlanır da açlığa katlanamaz.,"acımak, uyumak, acıkmak, uyumak",Atasözü,
63,aciz içinde olmak, aciz içinde olmak aciz,"gücü yetmemek, becerememek.",aciz,Deyim,
64,âciz kalmak, âciz kalmak âciz,çok uğraşmasına karşın bir işi yapamamak:<i> 'Kitaplar Taptuk'u anlatmaktan âciz kalır.' -</i>A. Kabaklı.,âciz,Deyim,
65,acze düşmek, acze düşmek aciz,"çaresiz kalmak, elinden bir şey gelmemek.",aciz,Deyim,
66,aç aç ile yatınca arada dilenci doğar, aç aç ile yatınca arada dilenci doğar yatmak doğmak,karı koca yoksul olursa bunların çocukları da yoksul olur.,"yatmak, doğmak",Atasözü,
67,aç açık kalmak, aç açık kalmak aç,"yoksulluk içinde, evsiz barksız kalmak.",aç,Deyim,
68,"aç aman bilmez, çocuk zaman bilmez", aç aman bilmez çocuk zaman bilmez bilmek,"aç hiçbir mazeretle susturulamaz, çocuk da istediği şeyi hemen elde etmek ister.",bilmek,Atasözü,
69,aç aslandan tok domuz yeğdir, aç aslandan tok domuz yeğdir ,"soysuz olup para kazanan, soylu olup da para kazanmayandan üstündür.",,Atasözü,
70,"aç at yol almaz, aç it av almaz", aç at yol almaz aç it av almaz almak,iş gördürdüğünüz kimselerin haklarını tam olarak vermezseniz kendilerinden yararlanamazsınız.,almak,Atasözü,
71,aç ayı oynamaz, aç ayı oynamaz oynamak,kendisinden iş beklenilen kimseden emeğinin karşılığı esirgenmemelidir.,oynamak,Atasözü,
72,aç domuz darıdan çıkmaz, aç domuz darıdan çıkmaz çıkmak,"kötü yaradılışlı aç olan kimse kime, neye zarar verdiğini düşünmeden sadece karnını doyurmaya bakar.",çıkmak,Atasözü,
73,"aç doymam, tok acıkmam sanır", aç doymam tok acıkmam sanır doymak acıkmak sanmak,"aç insan elde ettiğinden çoğunu ister, varlıklı insan ise daha fazlasını ister.","doymak, acıkmak, sanmak",Atasözü,
74,aç doyurmak, aç doyurmak aç,yoksulları beslemek.,aç,Deyim,
75,aç elini kora sokar, aç elini kora sokar sokmak,"aç insan, geçimini sağlamak için kendisini her türlü tehlikeye atar.",sokmak,Atasözü,
76,"aç esner, âşık gerinir", aç esner âşık gerinir esnemek gerinmek,herkes içinde bulunduğu koşula göre davranır.,"esnemek, gerinmek",Atasözü,
77,aç gezmektense tok ölmek yeğdir, aç gezmektense tok ölmek yeğdir ,yoksulluk ölümden de beterdir.,,Atasözü,
78,"aç gözünü, açarlar gözünü", aç gözünü açarlar gözünü açmak,"yaptığın işlerde uyanık davranmazsan çok kötü durumlarla karşılaşır, gözünü dört açmak zorunda kalırsın.",açmak,Atasözü,
79,aç ile dost olayım diyen peşin karnını doyursun, aç ile dost olayım diyen peşin karnını doyursun olmak demek karın doymak,"yakınlık kurduğumuz kimsenin sağlama olanağı bulunmayan şeyi, ondan beklemeden kendimiz elde etmeye çalışmalıyız.","olmak, demek, karın, doymak",Atasözü,
80,aç ile eceli gelen söyleşir, aç ile eceli gelen söyleşir gelmek söyleşmek,"açın gözü hiçbir şeyi görmez, karnını doyurabilmek için kendisine güçlük çıkaran bir kimseyi öldürebilir.","gelmek, söyleşmek",Atasözü,
81,aç it fırın duvarını deler, aç it fırın duvarını deler delmek,aç kimse karnını doyurmak için önüne çıkan engellerin tamamını aşar ve isteğini elde eder.,delmek,Atasözü,
82,aç kalmak, aç kalmak aç,"1) karnını doyuramamak:<i> 'Fatma'nın yemek çantası olmasaydı, dün aç kalmıştım.' -</i>F. R. Atay. 2) yoksulluğa düşmek.",aç,Deyim,
83,"aç kalmak, borçlu olmaktan iyidir", aç kalmak borçlu olmaktan iyidir ,"sözünün eri olana, borcunu ödeyememek aç kalmaktan daha ağır gelir.",,Atasözü,
84,aç köpek fırın deler, aç köpek fırın deler delmek,aç kimse karnını doyurmak için önüne çıkan engellerin tamamını aşar ve isteğini elde eder.,delmek,Atasözü,
85,aç kurt aslana saldırır, aç kurt aslana saldırır saldırmak,aç kimse karnını doyurmak için gerekirse ölümü göze alır.,saldırmak,Atasözü,
86,aç kurt gibi, aç kurt gibi aç,büyük bir istekle.,aç,Deyim,
87,aç kurt yavrusunu yer, aç kurt yavrusunu yer yemek,"açın gözü kararmıştır, karnını doyurmak için ölümü bile göze alarak kendisinden kat kat güçlü olan yaratıklarla boğuşur.",yemek,Atasözü,
88,aç mezarı yoktur, aç mezarı yoktur ,"kişi yoksul olabilir, işsiz ve parasız kalabilir ama aç kalmaz, mutlaka bir geçim yolu bulur.",,Atasözü,
89,"aç ne yemez, tok ne demez", aç ne yemez tok ne demez yemek demek,"yoksul kimse eline geçen şeyin iyisine kötüsüne bakmaz, varlıklı kişi ise en güzel şeylerde bile kusur bulur.","yemek, demek",Atasözü,
90,"aç ölmez gözü kararır, susuz ölmez benzi sararır", aç ölmez gözü kararır susuz ölmez benzi sararır ölmek kararmak beniz sararmak,yoksulluk insanı öldürmez ama türlü türlü üzüntü ve sıkıntı içinde yıpratır.,"ölmek, kararmak, beniz, sararmak",Atasözü,
